"","subjectID","StartDate","LocationLatitude","LocationLongitude","gender","age","education","ethnicity","father_education","mother_education","marital_status","employment_status","children_1","income","parents_income","net_worth","parents_net_worth","housing_status","macarthur_sss","macarthur_sss_parent","job","accomplishments","weight","height","bmi","sat_score","gre_score_verbal","gre_score_quant","gpa_highschool","gpa_undergrad"
"103",103,"2021-10-28 20:30:53","43.88409423828125","-79.060699462890625","Male","18","High school degree or equivalent (e.g. GED)","White","Some college, no degree","Some college, no degree","Single (never married)","Student","0","Less than $10,000","$90,000 to $99,999","$20,000 to $29,999","$100,000 to $149,999","Live with family","9","7","cohost","valedictorian","185",180.34,25.8562130079842,NA,NA,NA,"13",NA
"104",104,"2021-10-28 20:52:54","43.878997802734375","-79.26380157470703125","Female","18","High school degree or equivalent (e.g. GED)","Asian","Master's degree (e.g. MA, MS, MEd)","Bachelor's degree (e.g. BA, BS)","Single (never married)","Unemployed and currently looking for work","0","Less than $10,000",NA,"Less than $10,000",NA,"Own with mortgage","9","9","N/a","Honour roll, entrance scholarship","97",162.56,16.684825628174,NA,NA,NA,"13",NA
"105",105,"2021-10-28 20:55:03","41.7805938720703125","123.431396484375","Female","19","High school degree or equivalent (e.g. GED)","Asian","Some college, no degree","Some college, no degree","Single (never married)","Student","0","Less than $10,000","$100,000 to $149,999","$10,000 to $19,999","$2 million to $5 million","Live with family","5","5","student","finished a marathon","140",165.1,23.3459315762096,NA,NA,NA,"13",NA
"106",106,"2021-10-28 21:13:05","43.665496826171875","-79.42040252685546875","Female","19","High school degree or equivalent (e.g. GED)","Asian","Less than a high school diploma","Less than a high school diploma","Single (never married)","Student","0","Less than $10,000","Less than $10,000","$40,000 to $49,999","Less than $10,000","Rent","2","2","student","decide to go abroad on my own","132",170.18,20.7173504122014,NA,NA,NA,"13",NA
"107",107,"2021-10-28 21:58:52","22.290802001953125","114.15008544921875","Female","18","High school degree or equivalent (e.g. GED)","Asian","Bachelor's degree (e.g. BA, BS)","Bachelor's degree (e.g. BA, BS)","Single (never married)","Student","0","Less than $10,000","$30,000 to $39,999","Less than $10,000","$100,000 to $149,999","Live with family","4","5","Student","Volunteer in school","120",170.18,18.8339549201831,"1000",NA,NA,"12",NA
"108",108,"2021-10-28 20:51:55","30.0565032958984375","120.884185791015625","Female","19","High school degree or equivalent (e.g. GED)","Asian","Some college, no degree","Some college, no degree","Single (never married)","Student","0","$10,000 to $19,999","$90,000 to $99,999","$100,000 to $149,999","$5 million or more","Rent","6","6","student","Guzheng Grade10 certificate","101",165.1,16.842422065694,"1300",NA,NA,"12",NA
"109",109,"2021-10-28 21:51:58","43.7987060546875","-79.3218994140625","Female","18","High school degree or equivalent (e.g. GED)","Asian","Less than a high school diploma","Some college, no degree","Single (never married)","Student","0","Less than $10,000",NA,"$10,000 to $19,999",NA,"Live with family","5","4","student who works part time","I have received honor roll for three years in my high school and I have received 90% on my MATA29H3 term test.","110",157.48,20.1613306452419,NA,NA,NA,"13",NA
"110",110,"2021-10-28 21:59:46","43.6638031005859375","-79.39990234375","Female","19","High school degree or equivalent (e.g. GED)","Asian","Less than a high school diploma","High school degree or equivalent (e.g. GED)","Single (never married)","Student","0","Less than $10,000","$50,000 to $59,999","Less than $10,000","$60,000 to $69,999","Live with family","4","4","student","go to a college","132",162.56,22.7051235352471,NA,NA,NA,"11",NA
"111",111,"2021-10-28 23:21:09","45.5364990234375","-73.62419891357421875","Female","18","High school degree or equivalent (e.g. GED)","Asian","Bachelor's degree (e.g. BA, BS)","Some college, no degree","Single (never married)","Student","0","Less than $10,000","$60,000 to $69,999","Less than $10,000","$30,000 to $39,999","Live with family","6","5","student","honor roll in high school, partook in casual jobs","134",165.1,22.3453916515149,NA,NA,NA,"10",NA
"112",112,"2021-10-28 21:24:49","24.93890380859375","121.542205810546875","Male","20","Bachelor's degree (e.g. BA, BS)","Asian","Bachelor's degree (e.g. BA, BS)","Master's degree (e.g. MA, MS, MEd)","Single (never married)","Student","0","Less than $10,000","$70,000 to $79,999","$60,000 to $69,999","$100,000 to $149,999","Live with family","6","5","student","guitarist,pianist","170",NA,NA,NA,NA,NA,"12","12"
